"title","provider_value","actually_discount","link","rate_value","image_one","description","data_professional_advice","coupon_info","volume","tags","content_description","content_instructions","content_composition","provider"
"Vichy Idéal Soleil Leche Solar Anti-arena SPF50 + 200ml","18,00 €","-32%","https://www.promofarma.com/vichy-ideal-soleil-leche-solar-anti-arena-spf50-plus-200ml","","https://image.promofarma.com/product/71553/sd/2510769/large/coupon_image_1.jpg","La Leche Antiarena de Vichy Idéal Soleil es el protector que querrás este verano. Tiene una alta protección anti UVA/UVB y gracias a su formulación evita que la arena se adhiera a la piel, de manera que la piel se irritará menos por la fricción con la arena y también el protector será más efectivo. 
Además, esta Leche Antiarena de Vichy Idéal Soleil calma tu piel, la fortifica y la regenera. 
¡No te quedes sin tu protector solar antiarena este verano!","Consejo Farmacéutico","
                            Protección solar para la piel con tecnología antiarena que no dejará rastro
                        ","","
#vichy
","","","","promofarma"
"Be+ Pediatrics crema facial protectora SPF20+ 40ml","5,80 €","-27%","https://www.promofarma.com/be-pediatrics-crema-facial-protectora-spf20-40ml","9.5","https://image.promofarma.com/product/23913/sd/2510769/large/coupon_image_1.jpg","Be+ Pediatrics crema facial protectora SPF20+ esta formulada especificamente para el cuidado de la piel del rostro de bebés y niños. Nutre e hidrata de forma inmediata y duradera protege frente a la radicación solar diaria. Fácil de aplicar y no deja residuos grasos.
Es apta para pieles atópicas. Sus activos hidratan, reparan y protegen:

- Vitamina E: posee acción antioxidante.
- Hydraflux™: facilita la retención de agua evitando la deshidratación de la piel.
- Aloe Vera: hidrata, repara y protege.

*Apta para bebés y niños.","Consejo Farmacéutico


Recuerda que la piel de tu bebé es hasta cinco veces más fina que la tuya. Por lo tanto, necesita un cuidado especial que favorezca sus funciones naturales y le ofrezca una mayor protección frente agentes externos como el frío o el viento.","
                            Protege del daño de los rayos solares a tu bebé
                        ","40ml","
#be+
","","","","promofarma"
"Safe Sea protector especial medusas SPF30+ crema 200ml","25,89 €","without discount","https://www.promofarma.com/safe-sea-protector-especial-medusas-spf30-crema-200ml","8","https://image.promofarma.com/c/2510769/p/43296_1-m/safe-sea-protector-especial-medusas-spf30-crema-200ml.jpg","Las células urticantes de las medusas se activan al tener contacto físico con la piel, generando un fuerte dolor y un enrojecimiento pasajero de la dermis. Para evitar este sufrimiento, Safe Sea además de protegerte frente a la radiación solar actúa como repelente para medusas.
La crema especial para medusas con SPF30+ de Safe Sea te protege al mismo tiempo de los efectos perjudiciales de los rayos de sol en la piel y de las picaduras de medusas gracias a una substancia que inhibe la picadura de las medusas y otros seres urticantes marinos.
Además, esta crema incorpora una serie de componentes que contribuyen a proteger la piel:

Vitamina B y E: bloquean la oxidación de la piel a causa de la radiación solar, la contaminación u otros factores nocivos.
Resistente al agua. Protege la piel tras más de 80 minutos de actividad acuática.
Combina diferentes componentes activos que aportan propiedades anti-edad y anti-estrés: extracto de plancton, glicosaminglicanos, colágenos...).

*Sin parabenos y libre de conservantes tóxicos. Protección solar media.
Fórmula muy hidratante y adecuada para todo tipo de pieles.","Consejo Farmacéutico","
                            Repelente para medusas que te protege de la radiación solar
                        ","200ml","
#safe sea
","","","","promofarma"
"La Roche-Posay Anthelios leche solar niños SPF50+ 250ml","17,94 €","without discount","https://www.promofarma.com/la-roche-posay-anthelios-leche-solar-ninos-spf50-plus-250ml","8","https://image.promofarma.com/c/2510769/p/67610_2-m/la-roche-posay-anthelios-leche-solar-ninos-spf50-plus-250ml.jpg","La piel de los niños es muy delicada, por ello es importante protegerla de las agresiones de los rayos UVA del sol. Este pack solar infantil de La Roche-Posay contiene:
Leche protectora infantil muy eficaz para evitar irritaciones y otros problemas cutáneos por radiación solar.
Esta protección solar tiene una textura suave para que se pueda extender sobre la piel de tu niño fácilmente. Su fórmula está compuesta por un fotoprotector solar rico en filtros solares patentados: Mexoryl® SX y Mexoryl® XL.
Al ser un producto para niños, y teniendo en cuenta la actividad de un niño, esta crema solar resiste el agua, la arena y el sudor.
*Fórmula sin perfume ni parabenos. Apto a partir de 6 meses.
¡Protección solar para tus hijos!","Consejo Farmacéutico


Los pediatras y dermatólogos recomiendan no exponer directamente al sol a bebés menores de 3 años. Incluso a la sombra, aconsejan una protección óptima (sombrero, camiseta, gafas de sol, crema solar de muy alta protección) para preservar la piel sensible y frágil de los rayos UV indirectos.","
                            Cuida la piel de tus niños del sol
                        ","250ml","
#la roche posay
","","","","promofarma"
"Vichy compacto solar embellecedor SPF30+ beige dorado 9g","38,00 €","without discount","https://www.promofarma.com/vichy-compacto-solar-embellecedor-spf30-beige-dorado-9g","","https://image.promofarma.com/product/10351/sd/2510769/large/coupon_image_1.jpg","Mantén una piel limpia, protegida e hidratada durante todo el verano con Vichy compacto solar embellecedor SPF30+, un eficaz protector anti uva que gracias a la potencia de sus filtros y a la incorporación de una tonalidad Beige Dorado consigue crear una pantalla defensora del tejido cutáneo muy uniforme. 
Añadiendo a su composición elementos como el perlite, el talco y el taolín, esta fórmula anti rayos ultravioleta garantiza una protección duradera, homogénea y sin brillos, proporcionando así un resultado final y facial muy bello.
Prueba ahora su sistema filtrante de amplio espectro y consigue una defensa de la piel elástica y duradera a cualquier hora del día. 
Cuida y unifica tu piel.","Consejo Farmacéutico","
                            Protege del sol y unifica el color y tono de tu piel con Vichy
                        ","9g","
#vichy
","","","","promofarma"
"Isdin Protector Labial Spf50+","5,45 €","without discount","https://www.promofarma.com/es/isdin-protector-labial-spf50/p-253856","","https://www-assets.promofarma.com/dist/images/not-found.png","","Consejo Farmacéutico","
","","
#isdin
","","","","promofarma"
"Farline Pediatrico Spray Solar Spf50+ 2x200ml","24,94 €","without discount","https://www.promofarma.com/es/farline-pediatrico-spray-solar-spf50-plus-2x200ml/p-70129","","https://image.promofarma.com/product/70129/sd/2510769/large/coupon_image_1.jpg","","Consejo Farmacéutico","
                            Farline Pediatrico Spray Solar Spf50+ 2x200ml
                        ","","
#farline
","","","","promofarma"
"Farline Pediatrico Spray Solar Spf50+ 200ml + 200ml","25,94 €","without discount","https://www.promofarma.com/es/farline-pediatrico-spray-solar-spf50-plus-200ml-plus-200ml/p-72722","","https://www-assets.promofarma.com/dist/images/not-found.png","","Consejo Farmacéutico","
                            Farline Pediatrico Spray Solar Spf50+ 200ml + 200ml
                        ","","
#farline
","","","","promofarma"
"Nivea Sun Kids Spray Solar Hidratante SPF50+ 300 ml","19,00 €","-18%","https://www.promofarma.com/nivea-sun-kids-spray-solar-hidratante-spf50-plus-300-ml","","https://image.promofarma.com/product/74147/sd/2510769/large/coupon_image_1.jpg","Nivea Sun Kids Spray Solar Hidratante SPF50+ es un Spray solar creada especialmente para proteger la delicada piel de los niños.
Su fórmula está basada en la avanzada experiencia de NIVEA en el cuidado de la piel combinada con la experiencia de NIVEA SUN en el cuidado solar. 
Nivea Sun Kids Spray Solar Hidratante SPF50+ ofrece una protección inmediata y duradera contra las quemaduras solares y los daños en la piel a largo plazo gracias a su efectivo sistema de filtros UVA/UVB.  Además, su fórmula con Vitamina E, ayuda a reducir el riesgo de alergias solares hidratando de forma profunda y duradera. Muy resistente al agua.","Consejo Farmacéutico","
                            Protección inmediata contra las quemaduras solares
                        ","300 ml","
#nivea
","","","","promofarma"
"Lisubel Labial Protector 4g","2,96 €","without discount","https://www.promofarma.com/es/lisubel-labial-protector-4g/p-171780","","https://www-assets.promofarma.com/dist/images/not-found.png","","Consejo Farmacéutico","
                            Lisubel Labial Protector 4g
                        ","","
#lisubel
","","","","promofarma"
"Vichy solar leche niños SPF50+ 300ml + REGALO tabla","17,50 €","-23%","https://www.promofarma.com/protege-la-piel-de-tus-hijos-con-vichy-solar","","https://image.promofarma.com/product/45481/sd/2510769/large/coupon_image_1.jpg","Ideal para cuidar la piel corporal y facial de tus hijos durante los meses de más calor del año, Vichy solar leche niños SPF50+ presenta un conjunto de filtros solares altos muy adecuados para proteger las pieles más sensibles e intolerantes de los pequeños de la casa, evitando así la aparición de quemaduras, rojeces e irritaciones cutáneas. 
Esta fórmula protectora a base de Mexoryl proporciona una textura suave y muy absorbente sobre la piel de tus hijos, garantizando una piel cuidada y sana dentro y fuera de la piscina.
*Sin perfume, sin parabenos y muy resistente al agua.
Y de regalo una divertida tabla hinchable para que juegues en el agua.
Prueba este verano Vichy solar leche niños SPF50+ y dale a tus hijos la protección que su dermis necesita.","Consejo Farmacéutico","
                            Protege la piel de tus hijos con Vichy Solar
                        ","300ml","
#vichy
","","","","promofarma"
"Lierac Sunissime fluido protector rostro antiedad FPS15+ 40ml","19,85 €","-26%","https://www.promofarma.com/lierac-sunissime-fluido-protector-rostro-antiedad-fps15-plus-40ml","","https://image.promofarma.com/product/67679/sd/2510769/large/coupon_image_1.jpg","El fluido protector Sunissime de Lierac, es un protector solar para el rostro que previene los daños de la radiación solar, incorporando un sistema filtrante para el espectro solar que protege de la luz visible, rayos infrarrojos, UVB y UVA, y al mismo tiempo previene los signos visibles del foto- envejeciemiento como arrugas, pérdida de firmeza y manchas.
Su componente pro- taurina, revitaliza la piel, capturando los radicales libres y transformándolos en taurina energizante, estimulando la renovación celular e hidratando.
 Características:

Factor de protección solar 15+.
Tubo con cánula que permite una aplicación ultra- precisa en el rostro.
Aroma a agua de coco, bergamota y flor de jazmín.

¡El protector solar ideal para ti!","Consejo Farmacéutico","
                            Protector solar energizante antiedad para el rostro
                        ","40ml","
#lierac
","","","","promofarma"
"Bella Aurora Proteccion Solar Spf100 Piel Sensible 40ml","19,23 €","-25%","https://www.promofarma.com/es/bella-aurora-proteccion-solar-spf100-piel-sensible-40ml/p-92495","","https://image.promofarma.com/c/2510769/p/92495_1-m/bella-aurora-proteccion-solar-spf100-piel-sensible-40ml.jpg","Bella Aurora Protección Solar Spf100 Piel Sensible 40ml es un producto que ofrece protección total a las pieles sensibles reactivas al sol. Este protector solar combate los rayos UVA y UVB mientras trata las manchas producidas por la exposición al sol. Su fórmula actúa despigmentando las manchas y previene la aparición de nuevas en el rostro y tiene un factor SPF100 contra los rayos UVA/UVB e IR.
 ¿Qué beneficios tiene Bella Aurora Protección Solar Spf100 Piel Sensible?

Alta protección contra los rayos solares UVA/UVB e IR.
Tiene una textura fluida y ultra ligera.
Acción despigmentante que atenúa las manchas existentes y previene la aparición de nuevas.
Es hidratante, calmante y antioxidante.
Protege la piel del fotoenvejecimiento. 
Unifica el tono de la piel.","Consejo Farmacéutico","
                            Alta protección solar y acción despigmentante para pieles sensibles.
                        ","","
#bella aurora
","","","","promofarma"
"Phergal Baby Care Crema Solar Mineral Spf50 100ml","14,95 €","-20%","https://www.promofarma.com/es/phergal-baby-care-crema-solar-mineral-spf50-100ml/p-115772","","https://www-assets.promofarma.com/dist/images/not-found.png","","Consejo Farmacéutico","
                            Phergal Baby Care Crema Solar Mineral Spf50 100ml
                        ","","
#elifexir
","","","","promofarma"
"Vichy Ideal Soleil leche solar niños SPF50+ 300ml","12,69 €","-40%","https://www.promofarma.com/vichy-ideal-soleil-leche-solar-ninos-spf50-plus-300ml","8","https://image.promofarma.com/c/2510769/p/8324_2-m/vichy-ideal-soleil-leche-solar-ninos-spf50-plus-300ml.jpg","Ideal para cuidar la piel corporal y facial de tus hijos durante los meses de más calor del año, Vichy solar leche niños SPF 50+ presenta un conjunto de filtros solares altos muy adecuados para proteger las pieles más sensibles e intolerantes, evitando así la aparición de quemaduras, rojeces e irritaciones cutáneas. 
Esta fórmula protectora a base de Mexoryl proporciona una textura suave y muy absorbente sobre la piel de tus hijos, garantizando una piel cuidada y sana dentro y fuera de la piscina. Indicada para niños con cualquier tipo de pieles (protección elevada SPF50+).
Beneficios del Spray Vichy Capital Soleil para niños:

Piel protegida de quemaduras solares y futuros daños. 
Puede aplicarse sobre las pieles sensibles. 
Sin parabenos, ni perfume y resistente al agua.

Este verano, prueba la leche Vichy Solar niños SPF 50+ y dale a tus hijos la protección que su dermis necesita.","Consejo Farmacéutico","
                            Leche solar para las pieles de los más pequeños con protección 50
                        ","300ml","
#vichy
","","","","promofarma"
"Blistex® ultra protector labial clásico 4,25g","1,80 €","-50%","https://www.promofarma.com/blistex-ultra-protector-labial-clasico-4-25g","9","https://image.promofarma.com/c/2510769/p/19763_5-m/blistex-ultra-protector-labial-clasico-4-25g.jpg","La piel de los labios es fina y delgada, por lo que es más sensible a sufrir lesiones por el efecto de agentes externos, como el sol, el viento o el frío. Por su vulnerabilidad, nuestros labios tienden a mostrar señales de sequedad y heridas, como descamaciones o grietas.
Blistex® Ultra Protector Labial SPF10+ es un cacao, ideal para proteger e hidratar los labios sensibles y de los niños. Se recomienda su uso a diario para conseguir unos labios suaves, sanos y arerciopelados. Su fórmula contiene Aloe Vera, Vitamina E y Manzanilla para nutrir intensamente los labios y protegerlos del sol, el frío o el viento.
Previene los daños producidos por las rayos del sol gracias a su factor de protección solar SPF10+. Es un protector labial que hidrata en profundidad para prevenir la sequedad que con el tiempo provoca grietas en los labios.
¡Para los labios más delicados, Blistex® Ultra Protector Labial SPF10+!","Consejo Farmacéutico","
                            Hidrata y protege los labios delicados y los de los niños
                        ","4,25g","
#blistex
","","","","promofarma"
"Letibalm stick protector SPF20+ 4,5g","4,20 €","-24%","https://www.promofarma.com/letibalm-stick-protector-spf20-4-5g","8.5","https://image.promofarma.com/product/18308/sd/2510769/large/coupon_image_1.jpg","Cuando llega el mal tiempo en otoño, nuestros labios y nuestra nariz pueden resentirse de la bajada de temperaturas y los golpes de viento. Debido a esto pueden aparecer irritaciones y heriditas en estas partes de la cara que afean nuestro rostro y pueden ser el origen de infecciones más serias.
El stick protector SPF20+ de Letibalm es un stick formulado para proteger la piel de la nariz y los labios frente a las condiciones climatológicas adversas. En la formulación de este stick se encuentran activos como Laminaria Ochroleuca y filtros solares, los cuales protegen de los rayos UVA y UVB. Además, ayudan a prevenir erupciones labiales y otras afecciones cutáneas inducidas por una exposición continuada y sin protección al sol.
Gracias a su formato fácilmente untable, este stick es muy cómodo y fácil de usar en cualquier situación y deja un acabado mate en el cutis. Podrás reparar las microheridas y las tiranteces de tus mucosas en cualquier momento.
¡Repara tus labios y protégelos de la radiación solar!","Consejo Farmacéutico","
                            Protección frente a la radiación solar, el frío y el viento de forma cómoda, rápida y eficaz
                        ","4,5g","
#letibalm
","","","","promofarma"
"Nivea Sun Kids Spray Solar Hidratante SPF50+ 300 ml","19,00 €","-18%","https://www.promofarma.com/nivea-sun-kids-spray-solar-hidratante-spf50-plus-300-ml","","https://image.promofarma.com/product/74147/sd/2510769/large/coupon_image_1.jpg","Nivea Sun Kids Spray Solar Hidratante SPF50+ es un Spray solar creada especialmente para proteger la delicada piel de los niños.
Su fórmula está basada en la avanzada experiencia de NIVEA en el cuidado de la piel combinada con la experiencia de NIVEA SUN en el cuidado solar. 
Nivea Sun Kids Spray Solar Hidratante SPF50+ ofrece una protección inmediata y duradera contra las quemaduras solares y los daños en la piel a largo plazo gracias a su efectivo sistema de filtros UVA/UVB.  Además, su fórmula con Vitamina E, ayuda a reducir el riesgo de alergias solares hidratando de forma profunda y duradera. Muy resistente al agua.","Consejo Farmacéutico","
                            Protección inmediata contra las quemaduras solares
                        ","300 ml","
#nivea
","","","","promofarma"
"Avène Solar Spray Niños SPF50+ 200ml y Regalo Visor Acuático","19,97 €","without discount","https://www.promofarma.com/es/avene-solar-spray-ninos-spf50-plus-200ml-y-regalo-visor-acuatico/p-87614","","https://image.promofarma.com/c/2510769/p/87614_1-m/avene-solar-spray-ninos-spf50-plus-200ml-y-regalo-visor-acuatico.jpg","Avène Solar Spray Niños SPF50+ 200ml y Regalo Visor Acuático es un spray que ofrece alta protección solar SPF50+, para el rostro y el cuerpo de los niños. Su fórmula es eficaz contra toda la radiación solar: UVB-UVA largos y cortos. Este protector solar es especialmente cómodo por su fácil aplicación en spray, que ofrece una protección eficaz en la piel delicada de los niños. Además, este spray solar es muy resistente contra el agua y el sudor. De regalo con el Avène Solar Spray Niños SPF50+ 200ml se entrega un Visor Acuático, para que los peques puedan disfrutar descubriendo el fondo del mar.
 
¿Qué beneficios tiene Avène Solar Spray Niños SPF50+ 200ml y Regalo Visor Acuático?

Es un spray de alta protección solar SPF50+ para la cara y el cuerpo de los niños.
Protege de los rayos UVA-UVB largos y cortos.
Es altamente resistente contra el agua y el sudor.
De regalo se entrega un Visor Acuático.

*Sin perfume.
**Hipoalergénico y no comedogénico.","Consejo Farmacéutico","
                            Alta protección solar contra todos los rayos UVA-UVB largos y cortos.
                        ","","
#avene
","","","","promofarma"
"Solei solar Junior spray SPF50+ 150ml + solei dúo alta eficacia","14,75 €","-34%","https://www.promofarma.com/es/la-proteccion-solar-para-el-cuerpo-y-rostro-de-tu-nino/p-10326","10","https://image.promofarma.com/product/10326/sd/2510769/large/coupon_image_1.jpg","Los niños son muy activos y juegan durante horas en la calle expuestos al sol. Pero su piel es muy delicada y es esencial para la salud infantil protegerla adecuadamente con un buen producto de dermocosmética, no solo en la playa o en la piscina, sino también en las zonas de juego habituales.
El protector solar en spray protección 50 de Solei está especialmente pensado para los niños, con una protección extrema para su cuerpo y  para su rostro, en este completo pack formado por un protector solar en spray protección 50 para el cuerpo y 50 para la piel del rostro.
Cuida la piel de los más pequeños especialmente en verano.","Consejo Farmacéutico","
                            La protección solar para el cuerpo y rostro de tu niño
                        ","","
#solei
","","","","promofarma"
"Sebamed Baby Spray Solar SPF50 200ml + Leche Corporal 200ml","17,80 €","without discount","https://www.promofarma.com/pack-de-proteccion-solar-muy-alta","","https://image.promofarma.com/product/28733/sd/2510769/large/coupon_image_1.jpg","Tus hijos tienen la piel delicada y la radiación solar puede afectarla mucho más negativamente. Por eso es importante cuidarla antes y después de tomar el sol con aquellos tratamientos más hidratantes y suavizantes que te ofrece el mercado.
Este pack incluye:
- Sebamed Baby Spray Solar SPF50: es un protector solar muy alto para combatir los efectos nocivos de las radiaciones UVA y UVB durante la exposición al sol, evitando quemaduras e irritaciones.
Enriquecido con vitamina e protege las células de la piel, actuando como regenerante celular.
Indicado para proteger la piel del bebé.
*Resistente al agua.
- Leche Corporal: es una crema para bebés que proporciona una capa protectora confortable y húmeda que nutrirá su piel.
Enriquecida con un pH 5,5, no atenta contra la capa ácida natural que produce la piel para su auto-protección. Gracias a sus principios activos hidratantes y calmantes de su fórmula resulta ideal para evitar infecciones e irritaciones de la piel.
¡Cuida la piel de tus pequeños!","Consejo Farmacéutico","
                            Pack de protección solar muy alta
                        ","","
#sebamed
","","","","promofarma"
"Lierac Sunissime leche corporal protectora antiedad FPS50+ 150ml","15,40 €","-35%","https://www.promofarma.com/lierac-sunissime-leche-corporal-protectora-antiedad-fps50-plus-150ml","","https://image.promofarma.com/product/67684/sd/2510769/large/coupon_image_1.jpg","La leche Sunissime de Lierac es un protector solar para el cuerpo, que protege la piel contra los rayos UVA y UVB y la luz infrarroja y visible. Efectivo antiarrugas, antiflacidez y antimanchas que brinda energía a la piel y magnifica el bronceado natural.
Contiene un concentrado energizante que captura los radicales libres y la convierte en taurina energizante, fortaleciendo la barrera de la piel y renovando las células, obteniendo una piel hidratada y fortificada. 
Características:

Factor de protección solar FPS50+.
Textura fluida, no pegajosa.
Aroma a verano de coco, bergamota y jazmín.

 ¡Protege tu piel y lúcela más joven!","Consejo Farmacéutico","
                            Leche corporal antiedad con factor de protección solar
                        ","150ml","
#lierac
","","","","promofarma"
"Lierac Sunissime leche corporal protectora antiedad FPS15+ 150ml","15,49 €","-35%","https://www.promofarma.com/lierac-sunissime-leche-corporal-protectora-antiedad-fps15-plus-150ml","","https://image.promofarma.com/product/67682/sd/2510769/large/coupon_image_1.jpg","La leche Sunissime de Lierac es un protector solar para el cuerpo, que protege la piel contra los rayos UVA y UVB y la luz infrarroja y visible. Efectivo antiarrugas, antiflacidez y antimanchas que brinda energía a la piel y magnifica el bronceado natural.
Contiene un concentrado energizante que captura los radicales libres y la convierte en taurina energizante, fortaleciendo la barrera de la piel y renovando las células, obteniendo una piel hidratada y fortificada. 
Características:

Factor de protección solar FPS15+.
Textura fluida, no pegajosa.
Aroma a verano de coco, bergamota y jazmín.

 ¡El producto ideal para proteger tu piel!","Consejo Farmacéutico","
                            Leche corporal protector solar energizante antiedad
                        ","150ml","
#lierac
","","","","promofarma"
"Lierac Sunissime leche corporal protectora antiedad FPS30+ 150ml","14,66 €","-38%","https://www.promofarma.com/lierac-sunissime-leche-corporal-protectora-antiedad-fps30-plus-150ml","10","https://image.promofarma.com/product/67683/sd/2510769/large/coupon_image_1.jpg","La leche Sunissime de Lierac es un protector solar para el cuerpo, que protege la piel contra los rayos UVA y UVB y la luz infrarroja y visible. Efectivo antiarrugas, antiflacidez y antimanchas que brinda energía a la piel y magnifica el bronceado natural.
Contiene un concentrado energizante que captura los radicales libres y la convierte en taurina energizante, fortaleciendo la barrera de la piel y renovando las células, obteniendo una piel hidratada y fortificada. 
Características:

Factor de protección solar FPS30+.
Textura fluida, no pegajosa.
Aroma a verano de coco, bergamota y jazmín.

 ¡El producto ideal para proteger tu piel!","Consejo Farmacéutico","
                            Leche corporal protector solar energizante antiedad
                        ","150ml","
#lierac
","","","","promofarma"
"Phyto Phytoplage Aceite Protector 100 Ml","14,40 €","-20%","https://www.promofarma.com/es/phyto-phytoplage-aceite-protector-100-ml/p-71127","","https://image.promofarma.com/product/71127/sd/2510769/large/coupon_image_1.jpg","","Consejo Farmacéutico","
                            Phyto Phytoplage Aceite Protector 100 Ml
                        ","","
#phyto 
","","","","promofarma"
"Esthed Intoler Sol Protector 50Ml","49,00 €","without discount","https://www.promofarma.com/es/esthed-intoler-sol-protector-50ml/p-222796","","https://www-assets.promofarma.com/dist/images/not-found.png","","Consejo Farmacéutico","
","","
#esthederm
","","","","promofarma"
"Blistex® ultra protector labial clásico 4,25g","1,80 €","-50%","https://www.promofarma.com/blistex-ultra-protector-labial-clasico-4-25g","9","https://image.promofarma.com/c/2510769/p/19763_5-m/blistex-ultra-protector-labial-clasico-4-25g.jpg","La piel de los labios es fina y delgada, por lo que es más sensible a sufrir lesiones por el efecto de agentes externos, como el sol, el viento o el frío. Por su vulnerabilidad, nuestros labios tienden a mostrar señales de sequedad y heridas, como descamaciones o grietas.
Blistex® Ultra Protector Labial SPF10+ es un cacao, ideal para proteger e hidratar los labios sensibles y de los niños. Se recomienda su uso a diario para conseguir unos labios suaves, sanos y arerciopelados. Su fórmula contiene Aloe Vera, Vitamina E y Manzanilla para nutrir intensamente los labios y protegerlos del sol, el frío o el viento.
Previene los daños producidos por las rayos del sol gracias a su factor de protección solar SPF10+. Es un protector labial que hidrata en profundidad para prevenir la sequedad que con el tiempo provoca grietas en los labios.
¡Para los labios más delicados, Blistex® Ultra Protector Labial SPF10+!","Consejo Farmacéutico","
                            Hidrata y protege los labios delicados y los de los niños
                        ","4,25g","
#blistex
","","","","promofarma"
"TH Pharma Sun leche solar corporal FPS 30 protección alta 250ml","7,69 €","-36%","https://www.promofarma.com/th-pharma-sun-leche-solar-corporal-fps-30-proteccion-alta-250ml","","https://image.promofarma.com/product/25278/sd/2510769/large/coupon_image_1.jpg","Los protectores solares deben aplicarse entre 30 minutos y 2 horas antes de exponerse al sol, sobre todo tener máxima precaución en niños o personas con piel muy sensible a quemarse o irritarse a causa del sol.
La leche solar FPS30 es un producto corporal de TH Pharma que protege la piel contra la exposición solar prolongada de rayos UV. Es un fotoprotector solar especializado para pieles especialmente sensibles: PROTECCIÓN ALTA.
Incluye una fórmula protectora de acabado uniforme y textura ligera y no grasa. Diseñado para aliviar la piel y prevenir las quemaduras o manchas faciales.
*No comedogénico. / Sin parabenos. 
Protege tu piel contra los rayos UV.","Consejo Farmacéutico","
                            Indicado para pieles especialmente sensibles
                        ","250ml","
#th pharma
","","","","promofarma"
"Vichy solar leche niños SPF50+ 300ml + Regalo: cubo playa","17,99 €","-22%","https://www.promofarma.com/vichy-solar-leche-ninos-spf50-plus-300ml-plus-regalo-cubo-playa","","https://image.promofarma.com/product/66482/sd/2510769/large/coupon_image_1.jpg","Jugar bajo el sol durante los meses calurosos del año, es una de las actividades que más disfrutan los niños, de aquí la importancia protegerlos en todo momento. Vichy solar leche niños SPF 50+ presenta un conjunto de filtros solares altos muy adecuados para las pieles sensibles e intolerantes, evitando así la aparición de quemaduras, rojeces e irritaciones cutáneas. 
Esta fórmula protectora a base de Mexoryl® (y un sistema filtrante de amplio espectro UVA-UVB y fotoestable) proporciona una textura suave y muy absorbente sobre la piel de tus hijos, garantizando una piel cuidada y sana dentro y fuera del mar o la piscina. Indicada para niños con cualquier tipo de pieles, ya que está enriquecida con agua termal Vichy que calma, regenera y fortalece la piel (protección elevada SPF50+).
*Sin perfume, sin parabenos y muy resistente al agua.
**Incluye como regalo, un cubo playa.
Sin duda, la opción ideal para protegerlos mientras juegan disfrutando el sol.","Consejo Farmacéutico","
                            Protege la piel de los niños mientras se divierten bajo el sol
                        ","300ml","
#vichy
","","","","promofarma"
"Mustela® Pack bebés y niños fotoprotector SPF50+ spray solar 300ml + Spray postsolar","25,90 €","-10%","https://www.promofarma.com/mustela-pack-bebes-y-ninos-fotoprotector-spf50-plus-spray-solar-300ml-plus-spray-postsolar","6","https://image.promofarma.com/product/68102/sd/2510769/large/coupon_image_1.jpg","Proteger la piel del sol durante los intensos días de verano debe ser una tarea de constancia y acompañada de productos de calidad.
Este pack lo componen los siguientes productos:

Mustela® bebés y nños fotoprotector spray solar pieles atópicas SPF50+ 300ml:

Con la llegada del buen tiempo y las altas temperaturas, las exposiciones solares suelen incrementarse tanto en la playa como en la piscina. Aunque estemos relajados, no debemos olvidarnos de la protección para evitar quemaduras, rojeces y el fotoenvejecimiento prematuro. 
Mustela® fotoprotector spray solar pieles atópicas SPF50+ permite proteger nuestra piel de la radiación solar con una alta protección que podemos emplear tanto en el rostro como en el cuerpo. Su composición está diseñada especialmente para las pieles atópicas que son más sensibles a los agentes externos. 
Su fórmula combina filtros solares SPF50+ con perséose de aguacate para proteger las pieles sensibles de los bebés, niños y adultos. No sólo mantine las defensas naturales de la piel, sino que también previene los daños celulares.
¡Alta protección para las pieles atópicas!

Mustela® bebés y nños spray hidratante para después del sol 

Está específicamente formulado para  la piel delicada de los bebés desde el nacimiento* y de los niños, es ideal para el cuidado de la piel después de la exposición al sol.
Enriquecido con Perséose de Aguacate, activo natural patentado, que protege el capital celular de la piel de los bebés y niños, y proporciona una protección celular reforzada para preservar las defensas naturales de la piel y prevenir los daños celulares.
Tiene el efecto de aliviar, refrescar e hidratar inmediatamente la piel lastimada por el sol, gracias al aceite de jojoba y a la manteca de cupuaçu. Deja la piel suave, flexible y confortable.
 *Sin parabenes, sin alcohol, garantiza una alta tolerancia desde el nacimiento.
Un placer que la piel de los bebés y niño, agradecerá.","Consejo Farmacéutico","
                            Protección intensiva para las pieles delicadas de bebés y niños.
                        ","300ml","
#mustela
","","","","promofarma"
"Vichy Ideal Soleil Protector Antimanchas 3 en 1 SPF50 + 50ml","17,20 €","-24%","https://www.promofarma.com/vichy-ideal-soleil-protector-antimanchas-3-en-1-spf50-plus-50ml","","https://image.promofarma.com/c/2510769/p/71548_1-m/vichy-ideal-soleil-protector-antimanchas-3-en-1-spf50-plus-50ml.jpg","El Protector Antimanchas 3 en 1 de Vichy ayuda a corregir las manchas día tras día gracias a su fórmula con color enriquecidaa con Phe. Unifica el tono de piel de forma inmediata y contiene una alta protección anti-UVB/UVA, dejándo una piel unificada al instante. 
Los beneficios del Protector Antimanchas de Vichy:

Protege la piel del fotoenvejecimiento. 
Atenua las manchas visibles y combate la formación de nuevas.  
Contiene un complejo equilibrante antisebo y antibrillos que ayuda a reducir el tamaño de los poros y perfecciona la textura de la piel.
Gracias a su alta concentración de pigmentación te dejará un bonito color de piel.","Consejo Farmacéutico","
                            Protección solar antimanchas con un acabado no graso
                        ","","
#vichy
","","","","promofarma"
