"title","quality_overall","price","picture_image","laboratory","laboratory_logo","data_description","data_composition","data_mode_use"
"Uriage Bariesun SPF 50 + Crema Mineral 50 ml","80%","17,40 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/u/r/uriage_bariesun_spf_50___crema_mineral_50_ml257642_.jpg","Uriage","https://www.mifarma.es/media/amshopby/medium59.jpg","","",""
"Heliocare 360 Pediatrics SPF50 200ml","96%","26,35 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/e/heliocare_360_pediatrics_spf50_200ml174609_.jpg","Heliocare","https://www.mifarma.es/media/amshopby/medium42.jpg","","ComposiciónAlcohol denat. C12-15 alkyl benzoate. Octocrylene. Isohexadecane. Butyl methoxydibenzoylmethane. Ethylhexyl salicylate. Cyclopentasiloxane. Bis-ethylhexyloxyphenol methoxyphenyl triazine. Diethylhexyl butamido triazone. Dibutyl adipate. Cyclohexasiloxane. Polypodium leucotomos leaf extract. Ethylhexyl ferulate. Ferulic acid. Caffeic acid. Physalis angulata extract. Helianthus annuus seed oil. Camelia sinensisleaf extract. Arabidopsis thaliana extract. Tocopheryl acetate. Parfum. Acrylates/Octylacrylamide copolymer. Ascorbyl palmitate. Panthenyl triacetate. Aqua. Oxothiazolidine. Ethyl linoleate. Caprylic/Capric triglyceride. Oleyl alcohol. Butylene glycol. Tocopherol. Lecithin. Sodium benzoate.","Modo de usoAplicar sobre la piel del cuerpo 30 minutos antes de comenzar la exposición solar prolongada. Reaplicar cada dos horas como máximo."
"Anthelios Pocket SPF50+ La Roche Posay 30ml Protector Solar Muy alta protección","96%","11,25 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/n/anthelios_pocket_spf50__la_roche_posay_30ml_protector_solar_muy_alta_protecci__n182397_.jpg","La Roche Posay","https://www.mifarma.es/media/amshopby/medium13.jpg","","ComposiciónAQUA / WATER, C12-15 ALKYL BENZOATE, GLYCERIN, OCTOCRYLENE, ETHYLHEXYL SALICYLATE, STYRENE/ACRYLATES COPOLYMER, DIMETHICONE, ALCOHOL DENAT, BUTYL METHOXYDIBENZOYLMETHANE, BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, PENTYLENE GLYCOL, POTASSIUM CETYL PHOSPHATE, PROPYLENE GLYCOL, SYNTHETIC WAX, ETHYLHEXYL TRIAZONE, CAPRYLYL GLYCOL.","Modo de usoAplica el protector solar justo antes de la exposición al sol. Reaplica con frecuencia de forma generosa para mantener la protección, especialmente tras haber nadado, sudado o secado con toalla."
"La Roche Posay Leche Solar Anthelios Dermo Pediatrics Formato Pocket 30 ml","96%","11,25 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/l/a/la_roche_posay_leche_solar_anthelios_dermo_pediatrics_formato_pocket_30_ml175979_.jpg","La Roche Posay","https://www.mifarma.es/media/amshopby/medium13.jpg","","ComposiciónAQUA / WATER, C12-15 ALKYL BENZOATE, GLYCERIN, ETHYLHEXYL SALICYLATE, BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, ALCOHOL DENAT, DIISOPROPYL SEBACATE, BUTYL METHOXYDIBENZOYLMETHANE, DROMETRIZOLE TRISILOXANE, PROPYLENE GLYCOL, DIETHYLHEXYL BUTAMIDO TRIAZONE, DIMETHICONE, SYNTHETIC WAX, TITANIUM DIOXIDE, POTASSIUM CETYL PHOSPHATE, AMMONIUM POLYACRYLDIMETHYLTAURAMIDE / AMMONIUM POLYACRYLOYLDIMETHYL TAURATE.","Modo de usoAplica el protector solar justo antes de la exposición al sol. Reaplica con frecuencia de forma generosa para mantener la protección, especialmente tras haber nadado, sudado o secado con toalla."
"Aceite Solar de Coco SPF15 Bronceador Intensivo Tropicania 200ml","92%","20,57 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/c/aceite_solar_de_coco_spf15_bronceador_intensivo_tropicania_200mlmf1007_.jpg","Tropicania","https://www.mifarma.es/media/amshopby/medium1789.jpg","","ComposiciónParaffinum Liquidum, Caprylic/capric Triglyceride, Ethylhexyl Methoxycinnamate, Homosalate, Cyclopentasiloxane, Isopropyl Myristate, Isononyl Isononanoate, Prunus amygdalus Dulcis Oil, Cocos Nucifera Oil, Benzophenona-3, Olea europaea Fruit Oil, Simmondsia chinensis Seed Oil, Aloe barbadensis Leaf Extract, Tocopheryl Acetate, Cyclohexasiloxane, Cyclotetrasiloxane, Parfum, BHT.","Modo de usoAplicar de forma generosa y uniforme antes de la exposición solar.
Utilizar una cantidad insuficiente reduce significativamente el nivel de protección.
Reaplicar con frecuencia, especialmente después de transpirar, nadar o secarse con una toalla."
"Tropicania Protector Aceite Solar SPF50 Guayaba 200ml + After Sun 200ml Pack","100%","37,51 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/t/r/tropicania_protector_aceite_solar_spf50_guayaba_200ml___after_sun_200ml_packmf1016_mf2016_.jpg","Tropicania","https://www.mifarma.es/media/amshopby/medium1789.jpg","","ComposiciónAceite Solar SPF50 Guayaba Bronceador Tropicania 200ml: Petrolatum Homosalate, Octocrylene, Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Caprylic/capric Triglyceride Cyclopentasiloxane Ethylhexyl triazone, Isopropyl Myristate, Isononyl Isononanoate, Prunus amygdalus Dulcis Oil, Cocos Nucifera Oil, Parfum, Aloe barbadensis Leaf Extract, Olea europaea Fruit Oil, Simmondsia chinensis Seed Oil, Tocopheryl Acetate, Cyclohexasiloxane, Benzyl Salicylate, Butylphenyl Methylpropional, Cyclotetrasiloxane Alpha-Isomethyl Ionone, Hydroxyisohexyl 3- Cyclohexene Carboxaldehyde, BHT, Benzyl Alcohol, Citronellol, Hexyl Cinnamal, Benzyl Benzoate, Linalool.
After Sun Guayaba con Aloe Vera Tropicania 200ml: Aqua, Aloe barbadensis Leaf Juice, Glycerin, Propylene Glycol, Coco- Caprylate/Caprate, Prunus amygdalus Dulcis Oil, Maltodextrin, Arachidyl Alcohol, Behenyl Alcohol, Glyceryl Stearate, PEG-100 Stearate, Calendula officinalis Flower Extract, Tocopheryl Acetate, Allantoin, Arachidyl Glucoside, Cetyl Hydroxyethylcellulose,Ethylhexylglycerin, Citric Acid, Disodium EDTA,Phytic Acid, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Parfum, Benzyl Salicylate, Butylphenyl Methylpropional, Alpha-Isomethyl Ionone, Hydroxyisohexyl 3- Cyclohexene Carboxaldehyde, Citronellol, Hexyl Cinnamal, Benzyl Benzoate, Linalool.","Modo de usoAceite Solar SPF50 Guayaba Bronceador Tropicania 200ml: Aplicar de forma generosa y uniforme antes de la exposición solar. Utilizar una cantidad insuficiente reduce significativamente el nivel de protección. Reaplicar con frecuencia, especialmente después de transpirar, nadar o secarse con una toalla.
After Sun Guayaba con Aloe Vera Tropicania 200ml: Aplicar tras la exposición solar con un suave masaje hasta su completa absorción."
"Protector Solar Bella Aurora SPF100+ 40 ml","96%","21,18 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/p/r/protector_solar_bella_aurora_spf100__40_ml4053300_.jpg","Bella Aurora","https://www.mifarma.es/media/amshopby/medium131.jpg","","","Modo de usoAplicar generosamente sobre todo el rostro antes de la exposición solar. Despues se puede aplicar la crema, maquillaje o tratamiento habitual."
"Eryfotona AK-NMSC Crema Isdin 50ml","100%","25,56 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/e/r/eryfotona_ak-nmsc_crema_isdin_50ml153439_.jpg","Isdin","https://www.mifarma.es/media/amshopby/medium10.jpg","","","Modo de usoMedia hora antes de la exposición al sol aplicar Eryfotona AK-NMSC sobre las zonas que van a estar afectadas por el sol.
Aplicar sólo sobre la piel limpia e intacta.
Repetir la aplicación cada 2 horas mientras se está expuesto al sol."
"Bioderma Stick Solar Photoderm Max 50+ 8Gramos","96%","12,10 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/b/i/bioderma_stick_solar_photoderm_max_50__8gramos166912_.jpg","Bioderma","https://www.mifarma.es/media/amshopby/medium141.jpg","","ComposiciónDIISOPROPYL SEBACATE, OZOKERITE, OCTOCRYLENE, MYRISTYL LACTATE, MICROCRYSTALLINE WAX (CERA MICROCRISTALLINA), MINERAL OIL (PARAFFINUM LIQUIDUM), METHYLENE BIS-BENZOTRIAZOLYL TETRAMETHYLBUTYLPHENOL, PARAFFIN, WATER (AQUA), BUTYL METHOXYDIBENZOYLMETHANE, TRIISOSTEARIN PEG-6 ESTERS, BEESWAX (CERA ALBA), C12-16 ALCOHOLS, ECTOIN, DAF (DERMATOLOGICAL ADVANCED FORMULATION), LAMINARIA OCHROLEUCA EXTRACT, TOCOPHEROL, DECYL GLUCOSIDE, HYDROGENATED LECITHIN, PALMITIC ACID, GLYCERYL UNDECYLENATE, DIMETHICONE, PROPYLENE GLYCOL, XANTHAN GUM, CITRIC ACID, CAPRYLIC/CAPRIC TRIGLYCERIDE, TETRASODIUM EDTA, BHT. [BI 420].","Modo de usoAplicar varias veces al día durante los momentos de exposición solar.
Aplicar el protector solar labial antes de la exposición (una cantidad pequeña de producto reduce el nivel de protección).
Repetir la aplicación cada 2 h. o más frecuentemente después de cada baño, secado o actividad deportiva)."
"Nuxe Crema Fundente Para El Rostro SPF50 50 ml","64%","19,89 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/n/u/nuxe_crema_fundente_para_el_rostro_spf50_50_ml3264680006999_.jpg","","https://www.mifarma.es/media/amshopby/medium211.jpg","","",""
"Ladival Emulsion Protectora Antimanchas SPF 50+ con Color 50 ml","100%","24,20 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/l/a/ladival_emulsion_protectora_antimanchas_spf_50__con_color_50_ml178003_.jpg","Ladival","https://www.mifarma.es/media/amshopby/medium997.jpg","","",""
"Ladival Pieles Sensibles o Alérgicas FPS 50+ Facial 50ml","80%","15,13 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/l/a/ladival_pieles_sensibles_o_al__rgicas_fps_50__facial_50ml158392_.jpg","Ladival","https://www.mifarma.es/media/amshopby/medium997.jpg","","","Modo de usoAplicar en el rostro antes de comenzar la exposción al sol. Renovar al menos cada dos horas."
"Cumlaude Sunlaude Allergy SPF100+ 50 ml ","85%","24,89 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/c/u/cumlaude_sunlaude_allergy_spf100__50_ml_179084_.jpg","Cumlaude","https://www.mifarma.es/media/amshopby/medium91.jpg","","",""
"Heliocare 360 Gel Oil Free SPF50+Color Beige 50ml","80%","29,50 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/e/heliocare_360_gel_oil_free_spf50_color_beige_50ml187359_.jpg","Heliocare","https://www.mifarma.es/media/amshopby/medium42.jpg","","ComposiciónPhysavie, OTZ 10, Melanina biomimetica, Fernblock ® FC (Fernblock enriquecido en ácido ferúlico y ácido cafeico), Té Verde, Vitamina C, Vitamina E, Roxisomas, Complejo seborregulador y matificante.","Modo de usoAgitar antes de usar. Aplicar de manera uniforme. Sirve como base de maquillaje ligera."
"Heliocare Spray Spf 50 200ml","100%","25,65 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/e/heliocare_spray_spf_50_200ml181380_.jpg","Heliocare","https://www.mifarma.es/media/amshopby/medium42.jpg","","ComposiciónAqua. Ethylhexyl methoxycinnamate. C12-15 alkyl benzoate. Octocrylene. Caprylyl methicone. Hexylene glycol. Ethylhexyl triazone. Alcohol denat. Polysilicone-15. C14-22 alcohols. Polysorbate 80. Butyl methoxydibenzoylmethane. Styrene/Acrylates copolymer. Acrylates/Octylacrylamide copolymer. PEG/PPG-20/6 dimethicone. Polypodium leucotomos leaf extract. C12-20 alkyl glucosid. Micrococcuslysate. Camelia sinensis extract. Phenoxyethanol. Triethanolamine. Sodium lactate. Methylparaben. Propylparaben. BHT. Lecithin. Lactic acid. Disodium EDTA. Parfum. Linalool. Limonene.","Modo de usoAplicar uniformemente sobre la piel antes de cada exposición solar. Renovar con frecuencia la aplicación tras exposiciones solares intensas o baños prolongados."
"Uriage Bariesun SPF 50 + Crema Mineral 100 ml ","100%","19,51 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/u/r/uriage_bariesun_spf_50___crema_mineral_100_ml_232330_.jpg","Uriage","https://www.mifarma.es/media/amshopby/medium59.jpg","","","Modo de usoAntes de la exposición, aplicar una dosis generosa para cubrir bien la zona expuesta al sol. Renovar la aplicación frecuentemente, sobre todo después de sudar, bañarse o secarse."
"Serum Despigmentante Neoretin 30ml + Heliocare 360º Gel SPF50+25ml","95%","35,85 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/s/e/serum_despigmentante_neoretin_30ml___heliocare_360___gel_spf50_25ml165350.regalo_.jpg","Heliocare","https://www.mifarma.es/media/amshopby/medium42.jpg","","","Modo de usoNeoretin Discrom Control Serum: Aplicar por la noche sobre la piel limpia de cara y cuello. Esperar a su completa absorción ante de aplicar otro producto.
Heliocare 360º Gel: Aplicar de forma generosa y uniforme antes de la exposición solar. Reaplicar frecuentemente."
"La Roche Posay Anthelios SPF 30 Gel Crema Toque Seco 50ml","100%","22,75 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/l/a/la_roche_posay_anthelios_spf_30_gel_crema_toque_seco_50ml166384_.jpg","La Roche Posay","https://www.mifarma.es/media/amshopby/medium13.jpg","","ComposiciónAQUA / WATER, HOMOSALATE, ETHYLHEXYL SALICYLATE, SILICA, STYRENE/ACRYLATES COPOLYMER, C12-15 ALKYL BENZOATE, TALC, DROMETRIZOLE TRISILOXANE, PENTYLENE GLYCOL, ETHYLHEXYL TRIAZONE, BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, GLYCERIN, BUTYL METHOXYDIBENZOYLMETHANE, POTASSIUM CETYL PHOSPHATE, DIMETHICONE, PERLITE, PROPYLENE GLYCOL, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, ALUMINUM HYDROXIDE, ARACHIDYL ALCOHOL, BEHENYL ALCOHOL, CAPRYLYL GLYCOL, DISODIUM EDTA, INULIN LAURYL CARBAMATE, ISOPROPYL LAUROYL SARCOSINATE, OCTOCRYLENE, PEG-8 LAURATE, PHENOXYETHANOL, STEARIC ACID, STEARYL ALCOHOL, TEREPHTHALYLIDENE DICAMPHOR SULFONIC ACID, TITANIUM DIOXIDE [NANO] / TITANIUM DIOXIDE, TOCOPHEROL, TRIETHANOLAMINE, XANTHAN GUM, ZINC GLUCONATE, PARFUM / FRAGRANCE.","Modo de usoAplica el protector solar justo antes de la exposición al sol. Reaplica con frecuencia de forma generosa para mantener la protección, especialmente tras haber nadado, sudado o secado con toalla."
"Pack Heliocare 360 Water Gel SPF50+ 50ml+Spray Invisible 200ml","100%","42,35 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/p/a/pack_heliocare_360_water_gel_spf50__50ml_spray_invisible_200ml15931p01_.jpg","Heliocare","https://www.mifarma.es/media/amshopby/medium42.jpg","","ComposiciónSpray Invisible SPF50 Heliocare 360 200ml: Alcohol Denat. C12-15 Alkyl Benzoate. Octocrylene. Isohexadecane. Butyl Methoxydibenzoylmethane. Ethylhexyl Salicylate. Ciclopentasiloxane. Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine. Diethylhexyl Butamido Triazone. Dibutyl Adipate. Ciclohexasiloxane. Polypodium Leucotomos Leaf extract. Ethylhexyl Ferulate. Ferulic Acid. Caffeic Acid. Physalis Angulata Extract. Helianthus Annuus Seed Oil. Camelia Sinensis Leaf Extract. Arabidopsis Thaliana Extract. Tocopheryl Acetate. Parfum. Acrylates / Octylacrylamide Copolymer. Ascorbyl Palmitate. Panthenyl Triacetate. Aqua. Oxothiazolidine. Ethyl Linoleate. Caprylic/Capric Triglyceride. Oleyl Alcohol. Butylene Glycol. Tocopherol. Lecithin. Sodium Benzoate.","Modo de usoSpray Invisible SPF50 Heliocare 360 200ml: Aplicar generosamente 30 minutos antes de la exposición solar. Reaplicar con frecuencia, especialmente después del baño.
Heliocare 360 Gel Water SPF50+ 50ml: Aplicar media hora antes de la exposición solar y renovar con frecuencia."
"Eclisun SPF50+ Invisible 75ml","90%","25,41 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/e/c/eclisun_spf50__invisible_75ml167523.velvet_.jpg","Dermoestética del Sur","https://www.mifarma.es/media/amshopby/medium2415.jpg","","","Modo de usoAplicar por la mañana después de la crema hidratante para proteger el rostro del sol y dar a la piel un aspecto libre de brillos."
"Be+ Proteccion Solar Gel SPF50+ Dry Touch 50ml","70%","13,07 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/b/e/be__proteccion_solar_gel_spf50__dry_touch_50ml174931_.jpg","Be+","https://www.mifarma.es/media/amshopby/medium145.jpg","","",""
"Isdin Fotoprotector Wet Skin Transparent Spray SPF30 200 ml ","90%","22,95 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/i/s/isdin_fotoprotector_wet_skin_transparent_spray_spf30_200_ml_174856_.jpg","Isdin","https://www.mifarma.es/media/amshopby/medium10.jpg","","",""
"La Roche Posay Anthelios Leche Solar SPF30 250ml","75%","31,21 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/l/a/la_roche_posay_anthelios_leche_solar_spf30_250ml154759_.jpg","La Roche Posay","https://www.mifarma.es/media/amshopby/medium13.jpg","","ComposiciónAQUA / WATER, C12-15 ALKYL BENZOATE, GLYCERIN, OCTOCRYLENE, ETHYLHEXYL SALICYLATE, STYRENE/ACRYLATES COPOLYMER, DIMETHICONE, ALCOHOL DENAT, BUTYL METHOXYDIBENZOYLMETHANE, BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE, PENTYLENE GLYCOL, POTASSIUM CETYL PHOSPHATE, PROPYLENE GLYCOL, SYNTHETIC WAX, ETHYLHEXYL TRIAZONE, CAPRYLYL GLYCOL.","Modo de usoAplica el protector solar justo antes de la exposición al sol. Reaplica con frecuencia de forma generosa para mantener la protección, especialmente tras haber nadado, sudado o secado con toalla."
"Sensilis Sun Secret Crema Solar Facial SPF50+ 40ml","80%","22,00 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/s/e/sensilis_sun_secret_crema_solar_facial_spf50__40ml171221_.jpg","Sensilis","https://www.mifarma.es/media/amshopby/medium100.jpg","","ComposiciónAqua (Water); Cyclopentasiloxane; Octocrylene; Alcohol Denat.; Dibutyl Adipate; Diethylhexyl Carbonate; Cyclohexasiloxane; Titanium Dioxide (Nano); Butyl Methoxydibenzoylmethane; Butylene Glycol; Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine; PEG-30 Dipolyhydroxystearate; PEG-10 Dimethicone; Polymethyl Methacrylate; Sodium Chloride; Aloe barbadensis Leaf Juice; Silica; Phenoxyethanol; Disteardimonium Hectorite; Tocopheryl Acetate; Glycerin; Dimethicone; Allantoin; Bisabolol; Camellia sinensis Leaf Extract; Glyceryl Stearate; Dimethiconol; Disodium EDTA; Ethylhexylglycerin; PEG-8; Eriodictyon californicum Flower/Leaf/Stem Extract; Pisum sativum (Pea) Extract; Tocopherol; Potassium Sorbate; Sodium Benzoate; Ascorbyl Palmitate; Citric Acid; Sodium Citrate; Ascorbic Acid; Parfum (Fragrance).","Modo de usoAplicar de forma abundante minutos antes de la exposición prolongada al sol.
Reaplicar las veces que sea necesario."
"Heliocare 360 Pediatrics SPF50 Loción Spray Piel Atópica 250ml","100%","31,94 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/h/e/heliocare_360_pediatrics_spf50_loci__n_spray_piel_at__pica_250ml193017_.jpg","Heliocare","https://www.mifarma.es/media/amshopby/medium42.jpg","","ComposiciónFernblock® +, Physavie, OTZ 10, Melanina Biomimética, Glicosilasa, Arginina.","Modo de usoAplicar de forma generosa y uniforme antes de la exposición solar. Reaplicar frecuentemente, especialmente tras baños prolongados o sudoración excesiva."
"Piz Buin Allergy Loción 50SPF 200ml","90%","21,78 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/p/i/piz_buin_allergy_loci__n_50spf_200ml169768_.jpg","Piz Buin","https://www.mifarma.es/media/amshopby/medium482.jpg","","",""
"Cumlaude Sunlaude Ak-Repair SPF100 50 ml","90%","26,90 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/c/u/cumlaude_sunlaude_ak-repair_spf100_50_ml174728_.jpg","Cumlaude","https://www.mifarma.es/media/amshopby/medium91.jpg","","","Modo de usoAgitar antes de usar y aplicar uniformemente sobre las zonas afectadas. Aplicar por las mañanas e ir renovando frecuentemente según exposición solar."
"Ladival Anti-Manchas Toque Seco SPF50+ 50ml","85%","17,55 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/l/a/ladival_anti-manchas_toque_seco__spf50__50ml186251_.jpg","Ladival","https://www.mifarma.es/media/amshopby/medium997.jpg","","","Modo de usoAplicar uniformemente sobre el rostro, cuello, escote y manos."
"Avene Solar Spf30 Spray 200 Ml","90%","23,30 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/a/v/avene_solar_spf30_spray_200_ml151255_.jpg","Avene","https://www.mifarma.es/media/amshopby/medium9.jpg","","ComposiciónAVENE THERMAL SPRING WATER (AVENE AQUA). C12-15 ALKYL BENZOATE. DICAPRYLYL CARBONATE. GLYCERIN. WATER (AQUA). METHYLENE BIS-BENZOTRIAZOLYL TETRAMETHYLBUTYLPHENOL [NANO]. BIS ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE. DIETHYLHEXYL BUTAMIDO TRIAZONE. DIISOPROPYL ADIPATE. BUTYL METHOXYDIBENZOYLMETHANE. CETEARYL ISONONANOATE. LAURYL GLUCOSIDE. POLYGLYCERYL-2 DIPOLYHYDROXYSTEARATE. BENZOIC ACID. CAPRYLIC/CAPRIC TRIGLYCERIDE. CAPRYLYL GLYCOL. CITRIC ACID. DECYL GLUCOSIDE. DISODIUM EDTA. FRAGRANCE (PARFUM). GLYCERYL BEHENATE. GLYCERYL DIBEHENATE. HYDROGENATED PALM GLYCERIDES. HYDROGENATED PALM KERNEL GLYCERIDES. POLYACRYLATE-13. POLYISOBUTENE. POLYSORBATE 20. PROPYLENE GLYCOL. SORBITAN ISOSTEARATE. TOCOPHEROL. TOCOPHERYL GLUCOSIDE. TRIBEHENIN. XANTHAN GUM.","Modo de usoAntes de la exposición solar, aplicar el producto en cantidad suficiente sobre la cara y/o cuerpo. Renovar frecuentemente la aplicación para mantener la protección."
"Lullage AcneXpert SPF 50 Fluido Solar 50ml","95%","22,87 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/l/u/lullage_acnexpert_spf_50_fluido_solar_50ml180559_.jpg","Lullage","https://www.mifarma.es/media/amshopby/medium95.jpg","","ComposiciónAqua, Butylene glycol, Ethythewyl metrhowycinnamate, Butyl metrhowydibenzoymethane, Octocrylene, Glycerin Betaine, Orbignya oleifera sedd oil, Hydrogenated ethylhexyl olivate, Metrhlpropanediol, Silica, Themus dioxide, Enantia cloranta extract, Phopspholipids, Lecithin, Tocopheryl acetate, Hydrogenated olive oil unsaponifiables, Curcuma longa root extract, Oleanolic acid, Sorbitol, Alcohol denat, Xanthan gum, Oleic acid, Phenoxyethanol, Caprylyl glycol, Disodium EDTA, Phenylpropanol, Potassium sorbate, Glyceryl caprylate, Parfum.
Sin colornate, parabenos ni siliconas.","Modo de usoExtender una fina capa sobre la piel media hora antes de la exposición al sol."
"La Roche Anthelios Wet Skin Niños SPF50+ 250ml","95%","33,47 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/l/a/la_roche_anthelios_wet_skin_ni__os_spf50__250ml182245_.jpg","La Roche Posay","https://www.mifarma.es/media/amshopby/medium13.jpg","","ComposiciónAQUA / WATER, HOMOSALATE, DROMETRIZOLE TRISILOXANE, ETHYLHEXYL SALICYLATE, BIS-ETHYLEXYLOXYPHENOL METOXYPHENYL TRIAZINE, ETHYLEXYL TRIAZONE, GLYRECIN, BUTYL METHOXYDIBENZOYLMETHANE, ISOHEXADECANE, ALCOHOL DENAT, PROPENADIOL, DICAPRYLYL ETHER, STYRENE/ACRYLATES COPOLYMER, DIMETHICONE, ACRYLATES/DIMETICONE COPOLYMER, p-ANISIC ACID.","Modo de usoAntes de la exposición solar, aplicar abundantemente el producto. Renovar con frecuencia."
"Singuladerm XpertSun Perfection Natural SPF30 5g","90%","24,14 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/s/i/singuladerm_xpertsun_perfection_natural_spf30_5g175341_.jpg","Singuladerm","https://www.mifarma.es/media/amshopby/medium140.jpg","","","Modo de usoAplicar sobre la piel minutos antes de la exposición solar prolongada."
"Mustela Leche Solar Muy Alta Proteccion SPF50+ Niños 100ml","100%","19,05 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/m/u/mustela_leche_solar_muy_alta_proteccion_spf50__ni__os_100ml165846_.jpg","Mustela","https://www.mifarma.es/media/amshopby/medium22.jpg","","",""
"Ladival Niños SPF50 Spray 200ml","100%","17,52 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/l/a/ladival_ni__os_spf50_spray_200ml154800_.jpg","Ladival","https://www.mifarma.es/media/amshopby/medium997.jpg","","ComposiciónLibre de perfumes, conservantes, parabenes ni colorantes para respetar la piel y evitar reacciones alérgicas.
Formulada a base de Vitamina E y Aceites esenciales para cuidar la piel de los más peques.","Modo de usoAplicar de forma abundante sobre la piel minutos antes de exponerse al sol.
Reaplicar cada dos horas."
"Cumlaude Sunlaude Allergy SPF100+ 50 ml ","85%","24,89 €","https://www.mifarma.es/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/c/u/cumlaude_sunlaude_allergy_spf100__50_ml_179084_.jpg","Cumlaude","https://www.mifarma.es/media/amshopby/medium91.jpg","","",""
